"location","variable","estimate","year"
"Washington","S0802_C01_087",6.9,2011
"Washington","S0802_C01_088",7.6,2011
"Washington","S0802_C01_089",7.7,2011
"Washington","S0802_C01_090",25.5,2011
"Washington","S0802_C01_091",3062689,2011
"Washington","S0802_C01_092",65.7,2011
"Washington","S0802_C01_093",34.3,2011
"Washington","S0802_C01_094",2.6,2011
"Washington","S0802_C01_095",20.1,2011
"Washington","S0802_C01_096",41.1,2011
"Washington","S0802_C01_097",36.2,2011
"Washington","S0802_C01_098",4.5,2011
"Washington","S0802_C01_099",10.5,2011
"Washington","S0802_C01_100",7.4,2011
"Washington","S0802_C01_101",1.1,2011
"Washington","S0802_C02_001",2269757,2011
"Washington","S0802_C02_002",2.5,2011
"Washington","S0802_C02_003",8.9,2011
"Washington","S0802_C02_004",43.9,2011
"Washington","S0802_C02_005",23.5,2011
"Washington","S0802_C02_006",10.4,2011
"Washington","S0802_C02_007",10.9,2011
"Washington","S0802_C02_008",42.6,2011
"Washington","S0802_C02_009",54.2,2011
"Washington","S0802_C02_010",45.8,2011
"Washington","S0802_C02_011",97,2011
"Washington","S0802_C02_012",82,2011
"Washington","S0802_C02_013",3.1,2011
"Washington","S0802_C02_014",1.1,2011
"Washington","S0802_C02_015",7.1,2011
"Washington","S0802_C02_016",0.5,2011
"Washington","S0802_C02_017",3.2,2011
"Washington","S0802_C02_018",3,2011
"Washington","S0802_C02_019",9.6,2011
"Washington","S0802_C02_020",76.2,2011
"Washington","S0802_C02_021",84.8,2011
"Washington","S0802_C02_022",15.2,2011
"Washington","S0802_C02_023",7.7,2011
"Washington","S0802_C02_024",7.5,2011
"Washington","S0802_C02_025",17.2,2011
"Washington","S0802_C02_026",10,2011
"Washington","S0802_C02_027",7.2,2011
"Washington","S0802_C02_028",2269451,2011
"Washington","S0802_C02_029",11.2,2011
"Washington","S0802_C02_030",7,2011
"Washington","S0802_C02_031",14.2,2011
"Washington","S0802_C02_032",13.7,2011
"Washington","S0802_C02_033",17.2,2011
"Washington","S0802_C02_034",12.9,2011
"Washington","S0802_C02_035",5.6,2011
"Washington","S0802_C02_036",18.3,2011
"Washington","S0802_C02_037",37729,2011
"Washington","S0802_C02_038",2263978,2011
"Washington","S0802_C02_039",5.5,2011
"Washington","S0802_C02_040",5.6,2011
"Washington","S0802_C02_041",88.9,2011
"Washington","S0802_C02_042",2269757,2011
"Washington","S0802_C02_043",37.4,2011
"Washington","S0802_C02_044",16.9,2011
"Washington","S0802_C02_045",23.7,2011
"Washington","S0802_C02_046",9.7,2011
"Washington","S0802_C02_047",11.6,2011
"Washington","S0802_C02_048",0.8,2011
"Washington","S0802_C02_049",2.1,2011
"Washington","S0802_C02_050",6.5,2011
"Washington","S0802_C02_051",10.6,2011
"Washington","S0802_C02_052",3.2,2011
"Washington","S0802_C02_053",12.1,2011
"Washington","S0802_C02_054",5.3,2011
"Washington","S0802_C02_055",7.4,2011
"Washington","S0802_C02_056",10.2,2011
"Washington","S0802_C02_057",22.1,2011
